#Warren, S. G., 1984: Optical constants of ice from ultraviolet to microwave,
#Applied Optics, 23, 1206-1225
#(with  updates given by  S. G. Warren in 1995).
#
#Wave(microns)	Real part 	Imaginary part	     
4.05706E+01	1.20535E+00	3.66454E-01
4.13531E+01	1.21036E+00	3.99723E-01
4.21506E+01	1.21685E+00	4.35353E-01
4.29636E+01	1.22671E+00	4.78639E-01
4.37922E+01	1.25024E+00	5.34706E-01
4.46368E+01	1.28462E+00	5.76844E-01
4.54977E+01	1.32773E+00	6.36036E-01
4.63752E+01	1.41817E+00	6.93961E-01
4.72696E+01	1.54102E+00	6.83082E-01
4.81813E+01	1.60729E+00	6.10520E-01
4.91106E+01	1.62167E+00	5.59414E-01
5.00578E+01	1.63025E+00	5.42979E-01
5.10232E+01	1.65153E+00	5.32038E-01
5.20073E+01	1.67754E+00	5.18019E-01
5.30103E+01	1.70596E+00	5.00399E-01
5.40327E+01	1.74085E+00	4.75541E-01
5.50748E+01	1.76710E+00	4.15687E-01
5.61371E+01	1.75593E+00	3.52760E-01
5.72198E+01	1.70490E+00	2.94813E-01
5.83233E+01	1.62891E+00	3.14147E-01
5.94482E+01	1.59354E+00	3.59975E-01
6.05948E+01	1.59351E+00	4.25363E-01
6.17635E+01	1.63562E+00	4.71533E-01
6.29547E+01	1.68069E+00	4.81839E-01
6.41689E+01	1.72001E+00	4.89395E-01
6.54065E+01	1.76263E+00	4.87792E-01
6.66679E+01	1.80677E+00	4.73609E-01
6.79538E+01	1.83904E+00	4.42562E-01
6.92644E+01	1.85983E+00	4.13666E-01
7.06002E+01	1.87460E+00	3.86629E-01
7.19619E+01	1.88403E+00	3.61237E-01
7.33498E+01	1.89253E+00	3.37506E-01
7.47645E+01	1.89824E+00	3.15312E-01
7.62064E+01	1.90399E+00	2.94643E-01
7.76762E+01	1.90393E+00	2.69773E-01
7.91743E+01	1.90352E+00	2.46695E-01
8.07014E+01	1.89949E+00	2.25582E-01
8.22578E+01	1.89119E+00	2.06266E-01
8.38443E+01	1.88204E+00	1.92983E-01
8.54614E+01	1.87293E+00	1.84025E-01
8.71097E+01	1.86596E+00	1.75857E-01
8.87897E+01	1.86027E+00	1.69336E-01
9.05022E+01	1.85459E+00	1.63056E-01
9.22477E+01	1.84987E+00	1.57503E-01
9.40268E+01	1.84536E+00	1.52239E-01
9.58403E+01	1.84105E+00	1.47540E-01
9.76888E+01	1.83709E+00	1.43637E-01
9.95729E+01	1.83314E+00	1.39837E-01
1.01493E+02	1.83118E+00	1.37349E-01
1.03451E+02	1.82981E+00	1.35250E-01
1.05446E+02	1.82844E+00	1.33183E-01
1.07480E+02	1.82706E+00	1.31148E-01
1.09553E+02	1.82569E+00	1.29143E-01
1.11666E+02	1.82432E+00	1.27170E-01
1.13819E+02	1.82294E+00	1.25226E-01
1.16014E+02	1.82157E+00	1.23313E-01
1.18252E+02	1.82020E+00	1.21428E-01
1.20533E+02	1.81921E+00	1.19475E-01
1.22857E+02	1.81951E+00	1.17235E-01
1.25227E+02	1.81982E+00	1.15037E-01
1.27642E+02	1.82012E+00	1.12880E-01
1.30104E+02	1.82042E+00	1.10764E-01
1.32613E+02	1.82073E+00	1.08688E-01
1.35171E+02	1.82103E+00	1.06650E-01
1.37778E+02	1.82133E+00	1.04651E-01
1.40435E+02	1.82163E+00	1.02689E-01
1.43144E+02	1.82194E+00	1.00764E-01
1.45904E+02	1.82224E+00	9.88748E-02
1.48718E+02	1.82254E+00	9.70212E-02
1.51587E+02	1.82336E+00	9.48183E-02
1.54510E+02	1.82459E+00	9.23607E-02
1.57490E+02	1.82583E+00	8.99667E-02
1.60528E+02	1.82706E+00	8.76348E-02
1.63624E+02	1.82829E+00	8.53633E-02
1.66780E+02	1.82952E+00	8.31507E-02
1.69996E+02	1.83045E+00	7.87609E-02
1.73275E+02	1.83136E+00	7.44481E-02
1.76617E+02	1.83226E+00	7.03714E-02
1.80023E+02	1.83235E+00	6.62282E-02
1.83495E+02	1.83199E+00	6.21828E-02
1.87034E+02	1.83163E+00	5.83846E-02
1.90642E+02	1.83066E+00	5.44316E-02
1.94319E+02	1.82932E+00	5.05257E-02
1.98066E+02	1.82799E+00	4.69001E-02
2.01886E+02	1.82640E+00	4.38878E-02
2.05780E+02	1.82465E+00	4.12706E-02
2.09749E+02	1.82291E+00	3.88095E-02
2.13794E+02	1.82121E+00	3.64824E-02
2.17918E+02	1.81955E+00	3.42874E-02
2.22121E+02	1.81788E+00	3.22244E-02
2.26405E+02	1.81618E+00	3.03152E-02
2.30771E+02	1.81447E+00	2.85390E-02
2.35222E+02	1.81275E+00	2.68668E-02
2.39759E+02	1.81107E+00	2.53592E-02
2.44383E+02	1.80942E+00	2.39810E-02
2.49096E+02	1.80777E+00	2.26777E-02
2.53901E+02	1.80620E+00	2.15435E-02
2.58797E+02	1.80469E+00	2.05397E-02
2.63789E+02	1.80319E+00	1.95827E-02
2.68876E+02	1.80175E+00	1.87598E-02
2.74062E+02	1.80036E+00	1.80437E-02
2.79348E+02	1.79897E+00	1.73550E-02
2.84736E+02	1.79771E+00	1.68470E-02
2.90227E+02	1.79654E+00	1.64814E-02
2.95825E+02	1.79537E+00	1.61238E-02
3.01530E+02	1.79435E+00	1.58368E-02
3.07346E+02	1.79346E+00	1.56101E-02
3.13274E+02	1.79257E+00	1.53867E-02
3.19316E+02	1.79182E+00	1.51809E-02
